status,name,ocr_score,source,row,column,raw_text,label_box,crop_box,output
written,金算筹,0.998233,C:\MaaY\tools\analytics\bag-items-sample-3.png,3,1,金算筹,"[87, 791, 59, 25]","[83, 695, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\金算筹-bag.png
written,骨算筹,0.99904,C:\MaaY\tools\analytics\bag-items-sample-3.png,3,2,骨算筹,"[256, 791, 59, 25]","[251, 695, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\骨算筹-bag.png
written,解谪瓶,0.99828,C:\MaaY\tools\analytics\bag-items-sample-3.png,3,3,解谪瓶,"[424, 791, 61, 25]","[419, 695, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\解谪瓶-bag.png
written,善恶簿,0.998802,C:\MaaY\tools\analytics\bag-items-sample-3.png,3,4,善恶簿,"[593, 791, 60, 25]","[587, 695, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\善恶簿-bag.png
written,解注瓶,0.999232,C:\MaaY\tools\analytics\bag-items-sample-3.png,4,1,解注瓶,"[86, 979, 59, 25]","[83, 883, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\解注瓶-bag.png
written,怀阴金锁,0.999621,C:\MaaY\tools\analytics\bag-items-sample-3.png,4,2,怀阴金锁,"[247, 980, 78, 24]","[251, 884, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\怀阴金锁-bag.png
written,阳明金锁,0.99936,C:\MaaY\tools\analytics\bag-items-sample-3.png,4,3,阳明金锁,"[415, 980, 79, 24]","[419, 884, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\阳明金锁-bag.png
written,天风金锁,0.999529,C:\MaaY\tools\analytics\bag-items-sample-3.png,4,4,天风金锁,"[584, 980, 79, 24]","[587, 884, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\天风金锁-bag.png
written,火源金锁,0.999915,C:\MaaY\tools\analytics\bag-items-sample-4.png,1,1,火源金锁,"[78, 424, 78, 25]","[83, 328, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\火源金锁-bag.png
written,水心金锁,0.999534,C:\MaaY\tools\analytics\bag-items-sample-4.png,1,2,水心金锁,"[246, 424, 79, 25]","[251, 328, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\水心金锁-bag.png
written,载地金锁,0.999805,C:\MaaY\tools\analytics\bag-items-sample-4.png,1,3,载地金锁,"[415, 424, 79, 25]","[419, 328, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\载地金锁-bag.png
